Sample,Particle Id,Group,Score,PM80-1 (µg/m3),Particle # conc. (#particle/m3),CmNormPM10-PM2.5 (µg/m3),Mass deposition (µg/cm2/s),Number deposition (#particles/cm2/s),MassMicrogram (µg),dAero  (µm),VolumeMicron3,AreaMicron2,AspectRatio,CentroidShift,Circularity,Compactness,Convexity,Count,Dispersion,ECDMicron,EEAMicron,EEBMicron,Eccentricity,Entropy,FractalDimH,FractalDimR,Glitch,Grain12,Grain3,Grain6,GrayKurt,GrayMean,GraySkew,GrayStd,InertiaRatio,Irregularity,JumpRatio,LengthMicron,PerimeterMicron,Porosity,Roundness,ShapeFactor,Solidity,WidthMicron,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es
BO22_Car_p1_sec. analysis,13,Mineral,0.967,0.05894021432779658,75.7534559490534,0.006963336233199104,1.220404243389881e-14,4.2350467909614943e-05,0.0007780531408023911,13.466,288.168,52.741,1.338,1.105,0.64,0.41,0.702,93727,5.832,8.195,5.145,3.524,0.664,6.802,1.169,1.032,0.108,0.108,0.027,0.088,0.139,0.335,0.093,0.108,0.973,2.438,0.135,11.473,40.229,0,2.442,2.92,0.736,8.577,0,0,0,0,0,14.648,0.0,42.592,0.0,0,0.0,0.351,6.681,25.765,0.0,0.492,0.0,0,0.953,1.749,0,3.039,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,18,Mineral,0.485,0.09425399740888032,29.622814283674664,0.00011709110297386287,4.990774083275816e-14,4.2350467909614943e-05,0.0031818042845721227,21.534,1178.446,134.894,1.672,2.049,0.604,0.365,0.684,86342,7.245,13.105,9.105,5.304,0.801,6.477,1.179,1.038,0.093,0.084,0.02,0.074,0.031,0.317,0.144,0.087,1.058,2.778,0.076,20.073,68.188,0,2.743,3.37,0.782,12.007,0,0,0,0,0,26.821,0.0,39.936,0.0,0,0.845,1.176,8.109,13.766,0.262,0.487,0.256,0,2.038,2.094,0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.709,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,111,Mineral,0.729,0.03158102271059851,263.85995995011467,0.026342242541531585,1.8773582116576584e-15,4.2350467909614943e-05,0.0001196885753964687,7.215,44.329,15.144,1.46,0.156,0.643,0.413,0.71,107291,4.0,4.391,3.058,1.665,0.729,6.654,1.241,1.08,0.057,0.094,0.012,0.023,0.079,0.358,0.004,0.109,0.93,2.496,0.164,6.113,21.459,0,2.42,2.874,0.757,4.187,0,0,0,0,0,8.581,0.0,48.742,0.0,0,0.0,0.366,7.749,28.317,0.0,0.0,0.0,0,0.0,0.0,0,2.554,0.0,0.0,0.0,3.691,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,115,Mineral,0.405,0.0197570187624719,674.1911503766995,0.018786640985387505,4.596558731332083e-16,4.2350467909614943e-05,2.9304773210732308e-05,4.514,10.854,5.927,1.388,3.541,0.529,0.28,0.619,82458,2.923,2.747,1.937,1.247,0.694,6.694,1.223,1.108,0.059,0.24,0.015,0.12,-0.948,0.313,0.197,0.115,0.923,2.978,0.175,4.287,16.305,0,3.569,4.151,0.66,3.088,0,0,0,0,0,27.032,0.0,41.238,0.0,0,0.0,0.205,3.127,19.692,0.0,0.257,0.302,0,0.0,5.039,0,0.0,0.0,0.0,0.0,3.108,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,116,Mineral,0.983,0.08068947706449663,40.41960549177333,0.0006010998799349359,3.1312610757293233e-14,4.2350467909614943e-05,0.0019962955126051262,18.435,739.369,98.848,1.729,0.822,0.752,0.565,0.761,89410,6.688,11.219,7.937,4.134,0.816,6.735,1.115,1.027,0.102,0.086,0.022,0.072,-0.255,0.331,-0.13,0.102,0.986,2.333,0.1,16.054,46.897,0,1.771,2.16,0.848,9.287,0,0,0,0,0,17.614,0.0,45.464,0.0,0,0.0,0.288,6.055,13.93,0.0,0.541,0.498,0,0.648,12.728,0,0.0,0.0,0.0,0.0,2.233,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,166,Mineral,0.98,0.11104063075129364,21.343322760873026,1.4933019888645626e-05,8.160454298766554e-14,4.2350467909614943e-05,0.005202593429119452,25.369,1926.886,187.205,1.206,0.631,0.693,0.48,0.748,122589,7.717,15.439,8.722,7.676,0.559,6.8,1.118,1.027,0.111,0.068,0.028,0.068,0.107,0.351,0.016,0.107,1.001,2.136,0.055,21.441,69.981,0,2.082,2.563,0.772,17.777,0,0,0,0,0,0.0,0.0,48.055,0.0,0,0.202,0.29,7.071,29.188,0.0,3.533,0.0,0,0.87,4.08,0,0.0,0.0,0.0,0.0,6.712,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,236,Mineral,0.703,0.056804126023299255,81.55791367254167,0.008575174142264944,1.0924667392576497e-14,4.2350467909614943e-05,0.0006964882188057204,12.978,257.959,48.989,1.491,3.719,0.667,0.445,0.747,102726,5.778,7.898,5.579,3.131,0.742,6.762,1.156,1.023,0.065,0.058,0.016,0.051,-0.788,0.357,-0.006,0.107,1.013,2.773,0.083,11.52,37.204,0,2.248,3.111,0.761,7.727,0,0,0,0,0,21.924,0.0,36.445,0.0,0,0.778,3.297,5.031,14.998,0.0,0.567,0.193,0,0.69,5.559,0,0.296,0.0,0.0,0.0,10.223,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,252,Mineral,0.941,0.050791433018047526,102.01051496036374,0.014366555043336808,7.809801128507729e-15,4.2350467909614943e-05,0.0004979038978264405,11.604,184.409,39.173,1.636,3.185,0.708,0.502,0.739,93231,5.363,7.062,4.733,2.768,0.791,6.935,1.142,1.045,0.091,0.036,0.009,0.063,-0.615,0.429,-0.601,0.139,0.94,2.071,0.088,10.053,31.321,0,1.993,2.499,0.84,6.146,0,0,0,0,0,0.0,0.0,50.623,0.0,0,0.0,0.0,2.067,2.688,0.0,18.928,0.0,0,0.688,25.006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,254,Mineral,0.697,0.08376774573225708,37.503535877167884,0.00041604748957233223,3.503475313895043e-14,4.2350467909614943e-05,0.0022335959469692245,19.138,827.258,106.536,1.262,0.49,0.74,0.547,0.795,37657,6.808,11.647,6.754,5.282,0.61,6.666,1.119,1.034,0.468,0.053,0.017,0.063,5.148,0.34,1.448,0.11,0.943,1.784,0.135,15.365,49.474,0,1.828,2.251,0.805,12.173,0,0,0,0,0,21.792,0.0,41.721,0.0,0,0.0,0.0,6.77,19.706,0.0,1.14,0.0,0,0.0,3.198,0,0.0,0.0,0.0,0.0,5.673,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO22_Car_p1_sec. analysis,271,Mineral,0.661,0.08651517244039841,35.15938878349754,0.00029902514944518205,3.8596276587147565e-14,4.2350467909614943e-05,0.002460656326341068,19.766,911.354,113.653,1.171,0.293,0.685,0.469,0.752,90917,6.903,12.029,6.831,5.576,0.52,6.669,1.147,1.034,0.136,0.075,0.025,0.069,-0.062,0.346,0.018,0.097,0.953,1.752,0.084,14.773,55.189,0,2.133,2.665,0.827,12.621,0,0,0,0,0,14.281,0.0,44.919,0.0,0,0.334,1.144,3.787,18.153,0.251,0.748,0.517,0,0.995,10.69,0,0.0,0.0,0.0,0.0,4.181,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
